,catlipid_id,max_epo_conc_mean_6hr,max_epo_conc_mean_24hr,canonical_smiles,species,CATLIPID_FAMILY_NAME,MOL_WT
0,RA17110714,68.0038625,48.3509625,CCCCC/C=C\C/C=C\CCCCCCC(O)CN(CCCC[C@@H]1NC(=O)[C@@H](CCCCN(CC(O)CCCCCC/C=C\C/C=C\CCCCC)CC(O)CCCCCC/C=C\C/C=C\CCCCC)NC1=O)CC(O)CCCCCC/C=C\C/C=C\CCCCC,mice,,1314.13
1,RA17131193,66.7,53.5,CCCCCCCCC(O)CN(CCCC[C@@H]1NC(=O)[C@@H](CCCCN(CC(O)CCCCCCCC)CC(O)CCCCCCCC)NC1=O)CC(O)CCCCCCCC,mice,,881.405
2,RA17138725,66.3,34.0,CCCCCCCCCCCOC(=O)CCCC(O)CN(CCCCSSCCCCN1CCN(CCOC(=O)CCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CC(O)CCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,mice,GOOD,1456.37
3,RA17132393,54.13,49.48,CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,mice,,993.618
4,RA16046930,50.12,,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,mice,,
5,RA17133174,49.6,32.9,CCCCCCCC(=O)OCCCCCOC(=O)CC(CC(=O)OCCCCCOC(=O)CCCCCCC)(OC(=O)CCN(C)C)C(=O)OCCCCCOC(=O)CCCCCCC,mice,Trident,928.24
6,RA17134076,41.85,30.63,CCCCCCCCCCC(O)CN(CCCC(=O)OCCN1CCN(CCSSCCCCN(CC(O)CCCCCCCC)CC(O)CCCCCCCC)CC1)CC(O)CCCCCCCCCC,mice,,1059.76
7,RA17136819,38.1,24.7,CCCCCCCCCCC(O)CN(CCCOC(=O)CN(C)CC(=O)OCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,mice,Bis AIM lipid,998.591
8,RA17137691,36.7,22.6,CCCCCC/C=C\COC(=O)CCCCCCCN(CCCCCCCC(=O)OC/C=C\CCCCCC)CCCCSC(=O)CC1NC(=O)C(CC(=O)SCCCCN(CCCCCCCC(=O)OC/C=C\CCCCCC)CCCCCCCC(=O)OC/C=C\CCCCCC)NC1=O,mice,Cyclic Amino Acids,1470.22
9,TBL-1205,36.0,22.8,CCCCCCCCCCC(O)CN(CCCC(=O)OCCN1CCN(CCCCSSCCCCN(CC(O)CCCCC(=O)OCC(CC)CC)CC(O)CCCCC(=O)OCC(CC)CC)CC1)CC(O)CCCCCCCCCC,mice,GOOD,1231.9
10,RA17138469,35.4,29.2,CCCCCCCCCCCOC(=O)CCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCCSSCCCCN1CCN(CCOC(=O)CCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1,mice,GOOD,1424.37
11,TBL-1187,35.0,15.1,CCCCCCCCC(O)CN(CCCOC(=O)CN(C)CC(=O)OCCCN(CC(O)CCCCCCCC)CC(O)CCCCCCCC)CC(O)CCCCCCCC,mice,Bis AIM lipid,886.4
12,TBL-1192,35.0,18.7,CCCCCC/C=C\COC(=O)CCCCCC(O)CN(CCCCSSCCCCN1CCN(CCOC(=O)CCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CC(O)CCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,mice,GOOD,1454.4
13,RA17138521,34.7,18.4,CCCCCCCC/C=C\CCCCCCC(O)CN(CCCCSSCCCCN1CCN(CCOC(=O)CCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CC(O)CCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,mice,GOOD,1438.39
14,TBL-1197,33.9,18.3,CCCCCCCCCCC(O)CN(CCCCOC(=O)CN(C)CC(=O)OCCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,mice,Bis AIM lipid,1026.6
15,RA17138165,32.9,20.3,CCCCCCCCCCCCC(O)CN(CCCC(=O)OCC1COC(COC(=O)CCCN(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC)CO1)CC(O)CCCCCCCCCCCC,mice,Glycerol Aldehyde Dimer GAD,1167.85
16,TBL-1215,32.4,18.7,CCCCCCCCCCC(O)CN(CCCC(=O)OCCN1CCN(CCCCSSCCCN(CC(O)CCCCC(=O)OCC(CC)CC)CC(O)CCCCC(=O)OCC(CC)CC)CC1)CC(O)CCCCCCCCCC,mice,GOOD,1217.9
17,RA17136009,32.3,25.1,CCCCCCCCCCC(O)CN(CCCSSCCCCN1CCN(CCOC(=O)CCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CC(O)CCCCCCCCCC,mice,GOOD,1129.9
18,RA17136304,31.5,24.7,CCCCCCCCCCC(O)CN(CCCCSSCCCCN1CCN(CCOC(=O)CCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CC(O)CCCCCCCCCC,mice,GOOD,1143.92
19,RA17138675,31.4,25.8,CCCCC/C=C\C/C=C\CCCCCCC(O)CN(CCCCSSCCCCN1CCN(CCOC(=O)CCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CC(O)CCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,mice,GOOD,1436.38
20,RA17138972,31.4,23.7,CCCCCCCC/C=C\CCCCCCC(O)CN(CCCC(=O)OCCN1CCN(CCCCSSCCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CC(O)CCCCCC/C=C\CCCCCCCC,mice,GOOD,1308.21
21,RA17137379,31.3,18.1,CCCCC/C=C\C/C=C\CCCCCCCCN(CCCCCCCC/C=C\C/C=C\CCCCC)CCCCOC(=O)CC1NC(=O)C(CC(=O)OCCCCN(CCCCCCCC/C=C\C/C=C\CCCCC)CCCCCCCC/C=C\C/C=C\CCCCC)NC1=O,mice,Cyclic Amino Acids,1366.2
22,TBL-1190,30.2,19.4,CCCCCCCCCCC(O)CN(CCCC(=O)O[C@H]1CO[C@@H]2[C@H](OC(=O)CCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CO[C@H]12)CC(O)CCCCCCCCCC,mice,Isosorbide,1053.6
23,RA17136327,29.9,21.5,CCCCCCCC/C=C\CCCCCCC(O)CN(CCCCSSCCCCN1CCN(CCOC(=O)CCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CC(O)CCCCCC/C=C\CCCCCCCC,mice,GOOD,1308.21
24,RA17133830,29.3,18.05,CCCCCCCC/C=C\CCCCCCC(O)CN(CCCSSCCN1CCN(CCOC(=O)CCCN(CC(O)CCCCCCCC)CC(O)CCCCCCCC)CC1)CC(O)CCCCCC/C=C\CCCCCCCC,mice,,1210.03
25,RA17111320,28.06,18.26,CCCCCCCCC(O)CN(CCCCC(=O)OCCC1NC(=O)C(CCOC(=O)CCCCN(CC(O)CCCCCCCC)CC(O)CCCCCCCC)NC1=O)CC(O)CCCCCCCC,mice,,1025.53
26,RA17135361,27.76,18.12,CCCCCCCCCCC(O)CN(CCCCC(=O)OCCN1CCN(CCSSCCCN(CC(O)CCCCCCCC)CC(O)CCCCCCCC)CC1)CC(O)CCCCCCCCCC,mice,,1059.76
27,RA17132431,27.35,17.78,CCCCCCCCC(O)CN(CCC[C@@H]1NC(=O)[C@@H](CCCN(CC(O)CCCCCCCC)CC(O)CCCCCCCC)NC1=O)CC(O)CCCCCCCC,mice,,853.352
28,RA17135422,26.96,15.31,CCCCCCCCCCCCC(O)CN(CCCCSSCCN1CCN(CCOC(=O)CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CC(O)CCCCCCCCCCCC,mice,GOOD,1186.0
29,RA17136614,26.5,17.6,CCCCCCCC/C=C\CCCCCCC(O)CN(CCCCSSCCCCN1CCN(CCOC(=O)CCCN(CC(O)CCCCCCCC)CC(O)CCCCCCCC)CC1)CC(O)CCCCCC/C=C\CCCCCCCC,mice,GOOD,1252.1
