index	mols2grid-id-copy	Unnamed:-0.1	Unnamed:-0	catlipid_id	max_epo_conc_mean_6hr	max_epo_conc_mean_24hr	canonical_smiles	species	CATLIPID_FAMILY_NAME	MOL_WT	C/C=C\C	C/C=C/C	CC=C(C)C	C=CC	CC#CC	C/C=C(C)/C=C/C=C(C)/C=C/C(C)=C(C)C	CO	COC	COC(C)OC	COC(C)=O	COC(C)OC(C)=O	COC(=O)OC	CNS(C)(=O)=O	CSC(C)=O	COC(=O)SC	CSC	CSSC	CN(C)C	C[N+](C)(C)C	CNC(C)=O	CC(=O)N(C)C	COC(=O)N(C)C	CNC(=N)N	CNC(=O)OC	Cn1ccnn1	C1CNCCN1	C1CCNCC1	NCCOC(=O)cccccc	NCCCOC(=O)COcccccc	NCCCOC(=O)cccccc	NCCCCCOC(=O)	NC~C~C~C~C(=O)OC	NC~C~C~C~C(=O)OCC	NC~C~C~C~C(=O)OCCC	NC~C~C~C(=O)OC	NC~C~C~C(=O)OCC	NC~C~C~C(=O)OCCC	NC~C~C(=O)OC	NC~C~C(=O)OCC	NC~C(=O)OC	NC~C(=O)OCC	NCCC(=O)O	NCCOC(=O)c	NCCCOC(=O)C	NC~CSSCC	NC~CSSC	num_tails	max_tail_length	ketone_in_tail	ester_in_tail	hydroxyl_in_tail	double_bonds_per_tail	isopropyl_in_tail	branches_in_tails	oxygen_atom_in_tail	disulfide_bond_in_tail	sulfur_atom_in_tail	glycol_in_lipid	branch_length	cyclopropanes_per_tail	rings_in_tail
0	0	156	156	RA17136447	10.7	6	CCCCCCCCCCC(O)CN(CCCOC(=O)c1ccccc1C(=O)OCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC	mice	Phthalic acid lipids	1017.59	false	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	4	11	0	0	1	0	0	0	0	0	0	0	0	0	0
1	1	280	280	RA17136531	4	1.8	CCCCC/C=C\C/C=C\CCCCCCC(O)CN(CCCOC(=O)c1ccccc1C(=O)OCCCN(CC(O)CCCCCC/C=C\C/C=C\CCCCC)CC(O)CCCCCC/C=C\C/C=C\CCCCC)CC(O)CCCCCC/C=C\C/C=C\CCCCC	mice	Phthalic acid lipids	1338.1	true	true	false	true	false	false	true	true	false	true	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	4	17	0	0	1	2	0	0	0	0	0	0	0	0	0
2	2	308	308	TBL-0745	2.78	2.13	CCCCCCCCCCC(O)CN(CCCCC(=O)Oc1c(OC)cc(C(=O)OCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)cc1OC)CC(O)CCCCCCCCCC	mice	Phenolic Acid	1091.7	false	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	4	11	0	0	1	0	0	0	0	0	0	0	0	0	0
3	3	312	312	RA17138430	2.52	1.56	CCCCCCCC#CCOC(=O)CC(CC(=O)OCC#CCCCCCCC)(OC(=O)CCC(=O)Oc1c(OC)cc(C(=O)OCCCN(C)C)cc1OC)C(=O)OCC#CCCCCCCC	mice	Trident	966.203	false	false	false	false	true	false	true	true	false	true	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	3	12	0	1	0	0	0	0	1	0	0	0	0	0	0
4	4	352	352	RA17135856	1.28	0.8	CCCCCCCCOC(=O)CC(CC(=O)OCCCCCCCC)(OC(=O)CCC(=O)Oc1c(OC)cc(C(=O)OCCCN(C)C)cc1OC)C(=O)OCCCCCCCC	mice	Trident	894.139	false	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	3	10	0	1	0	0	0	0	1	0	0	0	0	0	0
5	5	353	353	RA17138226	1.27	0.67	CCCCCC/C=C\COC(=O)CC(CC(=O)OC/C=C\CCCCCC)(OC(=O)CCC(=O)Oc1c(OC)cc(C(=O)OCCCN(C)C)cc1OC)C(=O)OC/C=C\CCCCCC	mice	Trident	930.171	true	true	false	true	false	false	true	true	false	true	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	3	11	0	1	0	1	0	0	1	0	0	0	0	0	0
6	6	373	373	RA17138242	0.94	0.47	CCCCCCCCOC(=O)CC(CC(=O)OCCCCCCCC)(OC(=O)[C@H](C)CC(=O)Oc1c(OC)cc(C(=O)OCCCN(C)C)cc1OC)C(=O)OCCCCCCCC	mice	Trident	908.166	false	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	4	10	0	1	0	0	0	1	1	0	0	0	9	0	0
7	7	374	374	RA17137367	0.93	0.59	CCCCCCCCOC(=O)CC(CC(=O)OCCCCCCCC)(OC(=O)CCC(=O)Oc1cc(OC(=O)CCC(=O)OC(CC(=O)OCCCCCCCC)(CC(=O)OCCCCCCCC)C(=O)OCCCCCCCC)cc(C(=O)OCCCN(C)C)c1)C(=O)OCCCCCCCC	mice	Trident	1460.91	false	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	6	10	0	1	0	0	0	0	1	0	0	0	0	0	0
8	8	376	376	RA17137276	0.92	0.55	CCCCC/C=C/COC(=O)CC(CC(=O)OC/C=C/CCCCC)(OC(=O)CCC(=O)Oc1c(OC)cc(C(=O)OCCCN(C)C)cc1OC)C(=O)OC/C=C/CCCCC	mice	Trident	888.092	true	true	false	true	false	false	true	true	false	true	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	3	10	0	1	0	1	0	0	1	0	0	0	0	0	0
9	9	379	379	RA17136803	0.88	0.61	CCCCCC#CCOC(=O)CC(CC(=O)OCC#CCCCCC)(OC(=O)CCC(=O)Oc1c(OC)cc(C(=O)OCCCN(C)C)cc1OC)C(=O)OCC#CCCCCC	mice	Trident	882.044	false	false	false	false	true	false	true	true	false	true	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	3	10	0	1	0	0	0	0	1	0	0	0	0	0	0
